Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
131;Matias Fernandez-Pardo;BEL;MF,FW;Gent;Belgium Pro;19;2005;3;2;164;1.8;1;0;1;1;0;0;1;0;1.1;1.1;0.0;1.1;9;6;17;0.55;0.00;0.55;0.55;0.55;0.60;0.00;0.60;0.60;0.60;6;3;50.0;3.29;1.65;0.17;0.33;15.2;0;0;0;1.1;1.1;0.18;-0.1;-0.1;33;46;71.7;494;130;14;18;77.8;10;16;62.5;4;6;66.7;0;0.0;0.0;0.0;0;4;1;0;6;1;0.55;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0;2;2;0;2;0;0;0;0;65;0;6;33;26;9;65;6;2;33.3;4;66.7;59;470;186;9;4;7;1;6;55;17;1;0;0;5;3;1;0;0;0;0;0;0;7;0;2;0.0
134;Nacho Ferri;ESP;FW;Kortrijk;Belgium Pro;19;2004;27;22;1,844;20.5;6;1;7;6;0;0;6;0;6.7;6.7;1.9;8.5;20;41;99;0.29;0.05;0.34;0.29;0.34;0.33;0.09;0.42;0.33;0.42;50;17;34.0;2.44;0.83;0.12;0.35;11.6;0;0;0;6.7;6.7;0.13;-0.7;-0.7;229;399;57.4;3016;1006;120;193;62.2;79;138;57.2;6;17;35.3;1;1.9;1.3;-0.9;18;27;14;1;41;40;1.95;28;0;2;3;5;2;3;0.15;0;0;1;1;0;1;19;13;3;8;8;3;12;25.0;9;19;2;17;2;21;25;0;647;27;70;262;329;105;647;39;17;43.6;20;51.3;362;2320;733;20;14;15;57;32;444;99;6;0;0;33;29;4;10;2;13;0;0;0;39;113;88;56.2
154;Marc Giger;SUI;DF,MF;Union SG;Belgium Pro;20;2004;2;0;21;0.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.2;1;2;3;0.00;0.00;0.00;0.00;0.00;0.53;0.13;0.66;0.53;0.66;2;1;50.0;8.57;4.29;0.00;0.00;22.6;0;0;0;0.1;0.1;0.06;-0.1;-0.1;11;15;73.3;153;32;5;6;83.3;4;5;80.0;0;1;0.0;0;0.0;0.0;0.0;1;1;0;0;2;3;12.86;2;0;1;0;0;0;0;0.00;0;0;0;0;0;0;1;0;0;1;0;1;2;50.0;1;0;0;0;1;2;0;0;20;0;1;10;10;0;20;2;2;100.0;0;0.0;15;146;62;1;2;0;1;0;15;3;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;
159;Hyllarion Goore;CIV;FW,MF;Gent;Belgium Pro;18;2005;5;2;209;2.3;0;0;0;0;0;0;0;0;1.8;1.8;0.2;1.9;12;4;20;0.00;0.00;0.00;0.00;0.00;0.75;0.06;0.82;0.75;0.82;12;2;16.7;5.17;0.86;0.00;0.00;14.7;0;0;0;1.8;1.8;0.15;-1.8;-1.8;28;38;73.7;407;107;15;16;93.8;10;12;83.3;2;4;50.0;0;0.2;0.1;-0.2;2;3;3;1;4;11;4.69;4;0;4;3;0;0;0;0.00;0;0;0;0;0;0;4;2;1;2;1;1;2;50.0;1;1;0;1;0;4;1;0;71;1;4;25;44;16;71;7;5;71.4;1;14.3;53;460;272;12;7;4;10;2;54;20;0;0;0;2;1;1;2;0;2;0;0;0;7;1;6;14.3
160;Keisuke Goto;JPN;FW;Anderlecht;Belgium Pro;19;2005;6;2;154;1.7;1;0;1;1;0;0;0;0;0.4;0.4;0.3;0.7;1;2;7;0.58;0.00;0.58;0.58;0.58;0.26;0.15;0.41;0.26;0.41;5;1;20.0;2.92;0.58;0.20;1.00;10.8;0;0;0;0.4;0.4;0.09;+0.6;+0.6;17;30;56.7;197;44;12;16;75.0;2;6;33.3;1;1;100.0;0;0.3;0.0;-0.3;2;1;0;0;2;4;2.34;3;0;0;1;0;0;0;0.00;0;0;0;0;0;0;2;1;0;1;1;0;2;0.0;2;2;1;1;0;2;0;0;46;1;2;17;27;8;46;1;1;100.0;0;0.0;30;118;24;1;2;0;4;3;35;7;0;0;0;4;0;0;0;0;1;0;0;0;1;7;9;43.8
168;Youssef Hamdaoui;BEL;DF;Antwerp;Belgium Pro;16;2008;1;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;6;8;75.0;101;40;4;6;66.7;2;2;100.0;0;0;;0;0.0;0.0;0.0;0;1;0;0;1;1;7.50;1;0;0;0;0;0;1;7.50;1;0;0;0;0;0;0;0;0;0;0;0;1;0.0;1;1;0;1;0;0;0;0;11;0;5;6;1;0;11;1;0;0.0;1;100.0;6;24;13;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;
179;Kyan Himpe;BEL;FW,DF;Kortrijk;Belgium Pro;18;2006;1;0;4;0.0;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;0;0;0.00;0.00;0.00;0.00;0.00;4.40;0.00;4.40;4.40;4.40;1;1;100.0;22.50;22.50;0.00;0.00;6.8;0;0;0;0.2;0.2;0.20;-0.2;-0.2;2;2;100.0;32;22;1;1;100.0;1;1;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;3;0;1;1;1;1;3;0;0;;0;;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;50.0
182;Milo Horemans;BEL;MF;Antwerp;Belgium Pro;18;2006;1;0;29;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;4;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.14;0.14;0.14;1;0;0.0;3.10;0.00;0.00;;17.3;0;0;0;0.0;0.0;0.05;0.0;0.0;11;12;91.7;158;21;4;4;100.0;6;6;100.0;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;1;0;0;14;0;4;4;6;1;14;0;0;;0;;13;54;39;1;1;0;1;0;12;4;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;
204;Heriberto Jurado;MEX;MF;Cercle Brugge;Belgium Pro;19;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;1;100.0;1;1;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
209;Emmanuel Kakou;CIV;DF;Cercle Brugge;Belgium Pro;19;2005;17;14;1,264;14.0;1;0;1;1;0;0;4;0;0.7;0.7;0.2;0.8;5;66;4;0.07;0.00;0.07;0.07;0.07;0.05;0.01;0.06;0.05;0.06;10;3;30.0;0.71;0.21;0.10;0.33;16.6;0;0;0;0.7;0.7;0.07;+0.3;+0.3;328;513;63.9;6394;2726;87;121;71.9;200;276;72.5;35;90;38.9;0;0.2;0.4;-0.2;3;37;1;0;66;15;1.07;11;0;1;1;2;0;1;0.07;0;0;1;0;0;0;28;15;19;8;1;15;34;44.1;19;23;10;13;26;54;69;0;702;69;241;408;60;19;702;10;6;60.0;3;30.0;305;1856;725;5;1;0;10;9;231;4;4;0;0;20;24;0;4;26;15;0;2;0;84;41;45;47.7
213;Konstantinos Karetsas;GRE;MF;Genk;Belgium Pro;16;2007;25;14;1,16;12.9;2;2;4;2;0;0;1;0;2.7;2.7;3.7;6.4;57;60;118;0.16;0.16;0.31;0.16;0.31;0.21;0.29;0.50;0.21;0.50;33;10;30.3;2.56;0.78;0.06;0.20;22.0;4;0;0;2.7;2.7;0.08;-0.7;-0.7;473;645;73.3;8614;2477;211;251;84.1;175;236;74.2;69;119;58.0;2;3.7;4.0;-1.7;41;35;26;9;60;73;5.66;41;19;5;3;5;0;3;0.23;2;0;1;0;0;0;17;7;5;3;9;9;21;42.9;12;14;1;13;0;17;7;0;839;14;98;354;397;27;839;74;28;37.8;39;52.7;629;4220;1908;57;49;14;36;34;616;118;1;0;0;22;44;5;95;0;7;0;0;0;67;3;12;20.0
220;Anan Khalaili;ISR;DF,FW;Union SG;Belgium Pro;19;2004;24;16;1,5;16.7;1;2;3;1;0;0;4;0;2.9;2.9;4.9;7.8;55;71;122;0.06;0.12;0.18;0.06;0.18;0.18;0.29;0.47;0.18;0.47;32;13;40.6;1.92;0.78;0.03;0.08;16.7;0;0;0;2.9;2.9;0.09;-1.9;-1.9;491;706;69.5;8676;3295;199;267;74.5;226;299;75.6;45;81;55.6;2;4.9;3.1;-2.9;25;44;30;9;71;59;3.54;42;2;8;5;1;1;5;0.30;4;0;0;1;0;0;59;36;35;18;6;31;56;55.4;25;30;7;23;24;83;47;0;1002;58;237;425;352;52;1002;66;26;39.4;38;57.6;648;4368;1972;55;33;17;29;15;614;122;4;0;0;16;12;4;50;24;36;0;0;0;87;21;30;41.2
221;Bilal El Khannouss;MAR;MF;Genk;Belgium Pro;20;2004;1;1;68;0.8;0;1;1;0;0;0;0;0;0.1;0.1;0.1;0.2;0;6;2;0.00;1.32;1.32;0.00;1.32;0.15;0.15;0.30;0.15;0.30;1;0;0.0;1.32;0.00;0.00;;20.7;1;0;0;0.1;0.1;0.11;-0.1;-0.1;32;46;69.6;558;212;10;12;83.3;19;22;86.4;2;8;25.0;1;0.1;0.5;+0.9;1;6;0;0;6;1;1.32;0;1;0;0;0;0;1;1.32;0;1;0;0;0;0;2;1;1;0;1;0;0;;0;1;0;1;0;2;3;0;57;1;8;30;19;1;57;0;0;;0;;36;226;114;0;2;0;1;0;35;2;0;0;0;0;0;0;4;0;1;0;0;0;2;2;0;100.0
227;Josué Kongolo;BEL;DF;Genk;Belgium Pro;18;2006;4;1;76;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.00;0.12;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;51;57;89.5;1016;187;11;13;84.6;35;36;97.2;5;8;62.5;0;0.1;0.0;-0.1;1;4;0;0;5;2;2.37;1;0;0;0;0;1;0;0.00;0;0;0;0;0;0;3;3;0;3;0;1;1;100.0;0;0;0;0;2;5;5;0;69;6;13;51;6;1;69;2;0;0.0;2;100.0;56;285;154;0;1;0;0;0;51;0;0;0;0;2;0;0;0;2;3;0;0;0;7;0;0;
233;Léandre Kuavita;BEL;MF;Standard Liège;Belgium Pro;20;2004;30;23;1,855;20.6;1;0;1;1;0;0;1;0;2.1;2.1;0.6;2.7;23;60;72;0.05;0.00;0.05;0.05;0.05;0.10;0.03;0.13;0.10;0.13;16;1;6.3;0.78;0.05;0.06;1.00;14.7;0;0;0;2.1;2.1;0.13;-1.1;-1.1;351;534;65.7;5344;2031;182;241;75.5;118;184;64.1;26;52;50.0;0;0.6;1.0;-0.6;14;42;18;5;60;29;1.41;25;0;0;0;3;1;2;0.10;1;0;0;0;1;0;20;5;3;12;5;10;20;50.0;10;28;3;25;15;35;32;0;730;33;143;357;241;46;730;22;6;27.3;13;59.1;436;2300;873;23;23;6;23;35;410;72;1;0;0;12;19;0;29;15;5;1;0;0;76;30;34;46.9
240;Bram Lagae;BEL;DF;Kortrijk;Belgium Pro;20;2004;19;19;1,665;18.5;0;0;0;0;0;0;5;0;0.7;0.7;0.8;1.4;11;81;11;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.08;0.04;0.08;12;2;16.7;0.65;0.11;0.00;0.00;15.0;1;0;0;0.7;0.7;0.05;-0.7;-0.7;658;940;70.0;14830;6044;199;233;85.4;316;409;77.3;134;270;49.6;0;0.8;0.6;-0.8;6;70;5;2;81;19;1.03;9;5;0;5;0;0;0;0.00;0;0;0;0;0;0;24;15;17;7;0;16;27;59.3;11;32;16;16;21;45;111;2;1153;122;452;574;132;11;1153;2;2;100.0;0;0.0;591;4006;2184;11;9;0;8;4;561;11;5;0;0;21;10;0;11;21;15;0;0;0;45;41;19;68.3
241;Hugo Lambotte;BEL;MF;Sint-Truiden;Belgium Pro;18;2006;2;0;36;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;18;23;78.3;293;67;10;12;83.3;6;7;85.7;2;3;66.7;0;0.0;0.0;0.0;0;3;0;0;2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0;2;3;0;3;0;0;0;0;28;0;2;23;3;0;28;1;1;100.0;0;0.0;24;170;30;0;0;0;1;2;20;3;0;0;0;1;0;0;0;0;0;0;0;0;5;0;3;0.0
245;Amando Lapage;BEL;DF;Anderlecht;Belgium Pro;19;2004;2;1;96;1.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;6;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;68;79;86.1;1307;333;18;21;85.7;47;50;94.0;3;8;37.5;0;0.0;0.0;0.0;0;4;0;0;6;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;1;3;0;0;3;3;100.0;0;1;0;1;1;4;6;0;91;14;46;42;3;0;91;0;0;;0;;66;358;191;1;3;0;0;0;64;1;0;0;0;2;0;0;0;1;1;0;0;0;3;1;0;100.0
246;Amando Lapage;BEL;DF;Westerlo;Belgium Pro;19;2004;1;0;27;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;6;12;50.0;104;72;2;2;100.0;2;6;33.3;1;2;50.0;0;0.0;0.0;0.0;0;2;0;0;2;1;3.33;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;0;1;0;0;1;1;100.0;0;0;0;0;0;1;2;0;19;3;11;8;0;0;19;0;0;;0;;9;37;15;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;50.0
254;Jonas Lietaert;BEL;DF;Cercle Brugge;Belgium Pro;20;2004;2;0;58;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;3;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;16;23;69.6;250;95;7;7;100.0;9;12;75.0;0;3;0.0;0;0.0;0.2;0.0;0;1;0;0;3;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;4;3;1;3;0;3;7;42.9;4;1;0;1;1;5;3;0;33;2;5;14;14;1;33;0;0;;0;;15;64;23;0;2;0;0;0;14;4;0;0;0;0;0;0;1;1;3;0;0;0;0;2;1;66.7
257;Ali Maamar;MAR;DF,MF;Anderlecht;Belgium Pro;19;2005;6;5;425;4.7;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;11;13;21;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;3;0;0.0;0.64;0.00;0.00;;15.2;0;0;0;0.2;0.2;0.08;-0.2;-0.2;192;240;80.0;3134;780;88;99;88.9;85;101;84.2;10;26;38.5;0;0.0;0.1;0.0;0;11;0;0;13;6;1.27;5;0;0;1;0;0;0;0.00;0;0;0;0;0;0;12;6;8;3;1;6;9;66.7;3;4;1;3;2;14;11;0;299;14;84;130;86;6;299;20;7;35.0;13;65.0;195;1528;519;11;13;1;7;4;181;21;2;0;0;4;5;1;7;2;6;0;0;0;23;5;6;45.5
271;Jay-David Mbalanda;FRA;FW;Sint-Truiden;Belgium Pro;17;2007;3;0;19;0.2;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;5;0.00;0.00;0.00;0.00;0.00;0.23;0.00;0.23;0.23;0.23;1;0;0.0;4.74;0.00;0.00;;8.6;0;0;0;0.0;0.0;0.05;0.0;0.0;9;12;75.0;242;33;4;4;100.0;1;2;50.0;4;5;80.0;0;0.0;0.0;0.0;0;1;1;1;1;2;9.47;2;0;0;0;0;0;1;4.74;1;0;0;0;0;0;1;1;0;1;0;0;1;0.0;1;0;0;0;0;1;0;0;14;0;1;5;8;2;14;0;0;;0;;10;57;25;0;0;0;0;0;10;5;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;50.0
272;Noah Mbamba;BEL;MF;Dender;Belgium Pro;19;2005;6;2;199;2.2;0;0;0;0;0;0;0;0;0.3;0.3;0.6;0.9;5;5;9;0.00;0.00;0.00;0.00;0.00;0.12;0.27;0.39;0.12;0.39;4;0;0.0;1.81;0.00;0.00;;15.6;0;0;0;0.3;0.3;0.07;-0.3;-0.3;52;62;83.9;795;149;21;26;80.8;26;30;86.7;2;3;66.7;0;0.6;0.5;-0.6;2;3;1;0;5;4;1.80;2;0;0;0;2;0;0;0.00;0;0;0;0;0;0;9;3;2;5;2;2;5;40.0;3;1;0;1;1;10;5;0;99;5;19;59;26;6;99;5;2;40.0;3;60.0;59;428;150;5;2;1;9;7;54;9;0;0;0;4;7;1;0;1;3;0;0;0;12;4;3;57.1
276;Dire Mebude;SCO;FW;Westerlo;Belgium Pro;20;2004;17;7;680;7.6;2;1;3;2;0;0;1;0;2.7;2.7;1.6;4.3;21;26;57;0.26;0.13;0.40;0.26;0.40;0.35;0.22;0.57;0.35;0.57;17;5;29.4;2.25;0.66;0.12;0.40;15.9;0;0;0;2.7;2.7;0.16;-0.7;-0.7;160;210;76.2;2361;698;89;115;77.4;50;64;78.1;9;16;56.3;1;1.6;1.1;-0.6;9;14;10;2;26;32;4.22;18;0;7;5;1;1;4;0.53;3;0;0;0;1;0;5;4;2;2;1;3;10;30.0;7;7;0;7;4;9;5;0;298;8;46;104;158;29;298;29;16;55.2;11;37.9;226;1417;659;21;12;7;22;5;207;57;1;0;0;6;20;0;15;4;4;0;0;0;39;1;6;14.3
285;Jovan Mijatović;SRB;FW,MF;OH Leuven;Belgium Pro;19;2005;5;1;132;1.5;1;0;1;1;0;0;1;0;0.5;0.5;0.0;0.6;1;3;6;0.68;0.00;0.68;0.68;0.68;0.35;0.03;0.38;0.35;0.38;5;2;40.0;3.41;1.36;0.20;0.50;23.4;0;0;0;0.5;0.5;0.10;+0.5;+0.5;23;35;65.7;322;86;12;17;70.6;10;14;71.4;0;2;0.0;0;0.0;0.1;0.0;1;1;1;0;3;2;1.35;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;0;1;0;1;4;25.0;3;0;0;0;0;1;1;0;55;1;9;19;28;7;55;6;0;0.0;5;83.3;41;209;39;1;2;0;5;5;37;6;1;0;0;6;4;0;1;0;1;0;0;0;8;3;10;23.1
299;Steve Ngoura;FRA;FW;Cercle Brugge;Belgium Pro;19;2005;2;0;23;0.3;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.2;1;1;4;0.00;0.00;0.00;0.00;0.00;0.52;0.19;0.72;0.52;0.72;2;0;0.0;7.83;0.00;0.00;;13.3;0;0;0;0.1;0.1;0.07;-0.1;-0.1;10;13;76.9;140;11;5;7;71.4;4;4;100.0;0;0;;0;0.0;0.3;0.0;1;0;1;0;1;1;3.91;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;0;0;1;1;1;100.0;0;0;0;0;0;1;1;0;23;1;1;6;17;7;23;1;1;100.0;0;0.0;13;77;16;1;1;1;2;0;12;4;0;0;0;0;0;0;1;0;1;0;0;0;2;0;3;0.0
302;Adam Nhaili;BEL;FW,MF;Sint-Truiden;Belgium Pro;18;2005;8;1;204;2.3;0;1;1;0;0;0;0;0;0.1;0.1;0.3;0.4;6;7;11;0.00;0.44;0.44;0.00;0.44;0.03;0.13;0.16;0.03;0.16;2;2;100.0;0.88;0.88;0.00;0.00;27.5;0;0;0;0.1;0.1;0.04;-0.1;-0.1;74;88;84.1;1120;295;38;43;88.4;33;36;91.7;1;2;50.0;1;0.3;0.3;+0.7;2;3;1;1;7;3;1.32;3;0;0;0;0;0;2;0.88;2;0;0;0;0;0;2;1;2;0;0;0;1;0.0;1;1;0;1;1;3;1;0;106;1;20;61;27;3;106;5;2;40.0;3;60.0;77;511;207;6;4;2;7;5;82;11;0;0;0;4;2;0;5;1;1;0;0;0;10;1;0;100.0
308;Lucas Noubi;BEL;DF;Standard Liège;Belgium Pro;19;2005;2;1;137;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;55;80;68.8;1167;348;17;23;73.9;28;35;80.0;10;20;50.0;0;0.0;0.0;0.0;0;2;0;0;5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;0;0;2;0;1;2;50.0;1;1;0;1;4;6;7;0;97;2;45;52;1;0;97;0;0;;0;;60;384;134;1;1;0;0;2;52;0;0;0;0;0;2;0;0;4;0;0;0;0;8;2;1;66.7
310;Erick Nunes;BRA;MF,DF;Cercle Brugge;Belgium Pro;20;2004;27;22;1,54;17.1;0;2;2;0;0;0;3;0;1.7;1.7;1.7;3.4;30;54;89;0.00;0.12;0.12;0.00;0.12;0.10;0.10;0.20;0.10;0.20;19;4;21.1;1.11;0.23;0.00;0.00;17.3;0;0;0;1.7;1.7;0.09;-1.7;-1.7;308;525;58.7;4891;2144;153;226;67.7;131;213;61.5;14;50;28.0;2;1.7;1.4;+0.3;17;32;18;10;54;40;2.34;31;1;1;4;2;1;5;0.29;4;0;0;1;0;0;54;31;17;23;14;29;62;46.8;33;47;6;41;20;74;39;1;838;33;153;356;345;36;838;68;26;38.2;38;55.9;373;2695;1009;30;27;10;48;29;319;89;3;0;0;19;16;4;48;20;31;0;0;0;70;14;26;35.0
311;Antonio Nusa;NOR;FW,MF;Club Brugge;Belgium Pro;19;2005;3;2;162;1.8;0;1;1;0;0;0;0;0;0.2;0.2;1.1;1.3;11;6;24;0.00;0.56;0.56;0.00;0.56;0.14;0.60;0.73;0.14;0.73;6;2;33.3;3.33;1.11;0.00;0.00;20.8;0;0;0;0.2;0.2;0.04;-0.2;-0.2;41;55;74.5;549;167;28;31;90.3;8;14;57.1;2;4;50.0;1;1.1;1.1;-0.1;8;2;3;0;6;14;7.78;12;0;2;0;0;0;2;1.11;1;0;1;0;0;0;2;1;1;0;1;2;3;66.7;1;0;0;0;0;2;1;0;72;1;8;18;48;7;72;6;4;66.7;1;16.7;64;548;291;11;5;4;3;5;57;24;0;0;0;2;3;0;6;0;1;0;0;0;10;0;0;
322;Davis Opoku;BEL;FW,DF;OH Leuven;Belgium Pro;16;2007;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;5;7;71.4;76;21;3;3;100.0;2;4;50.0;0;0;;0;0.0;0.0;0.0;0;1;0;0;2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;7;0;0;3;4;0;7;0;0;;0;;4;33;14;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
324;Joel Ordóñez;ECU;DF;Club Brugge;Belgium Pro;20;2004;23;20;1,729;19.2;1;0;1;1;0;0;4;0;1.4;1.4;0.4;1.8;13;97;1;0.05;0.00;0.05;0.05;0.05;0.07;0.02;0.09;0.07;0.09;10;2;20.0;0.52;0.10;0.10;0.50;12.2;0;0;0;1.4;1.4;0.14;-0.4;-0.4;1149;1250;91.9;23645;7277;275;295;93.2;744;767;97.0;117;166;70.5;0;0.4;0.2;-0.4;3;88;1;0;97;10;0.52;8;0;0;2;0;0;0;0.00;0;0;0;0;0;0;18;12;11;7;0;6;12;50.0;6;14;11;3;18;36;99;1;1429;136;604;800;33;15;1429;6;5;83.3;1;16.7;1135;6786;3919;13;8;1;6;7;1087;1;4;0;0;23;9;1;1;18;12;0;2;1;65;31;23;57.4
325;Emir Ortakaya;TUR;DF;Westerlo;Belgium Pro;20;2004;3;1;153;1.7;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;66;77;85.7;1326;387;14;17;82.4;44;49;89.8;6;6;100.0;0;0.0;0.0;0.0;0;7;0;0;3;1;0.59;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;4;0;2;1;1;1;1;100.0;0;2;1;1;4;8;9;0;99;13;46;49;4;2;99;0;0;;0;;55;261;121;0;0;0;0;0;51;0;1;0;0;5;1;0;0;4;0;0;1;0;5;6;8;42.9
329;Kader Ouattara;BFA;MF,FW;Cercle Brugge;Belgium Pro;19;2005;8;2;283;3.1;2;0;2;2;0;0;1;0;2.0;2.0;0.2;2.2;5;1;33;0.64;0.00;0.64;0.64;0.64;0.63;0.07;0.70;0.63;0.70;11;5;45.5;3.50;1.59;0.18;0.40;15.1;0;0;0;2.0;2.0;0.18;0.0;0.0;41;74;55.4;554;121;23;36;63.9;14;25;56.0;0;2;0.0;0;0.2;0.5;-0.2;3;1;2;2;1;8;2.55;6;0;0;1;1;0;1;0.32;1;0;0;0;0;0;6;4;0;2;4;1;3;33.3;2;10;2;8;1;7;0;0;134;0;11;42;84;24;134;9;1;11.1;6;66.7;79;490;131;5;5;4;14;6;82;33;1;0;0;6;8;0;9;1;4;0;0;0;10;7;13;35.0
