,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
1442,Samuel Lino,BRA,MF,Atlético Madrid,La Liga,25,1999,24,17,1206,13.4,3,2,5,3,0,0,3,0,5.4,5.4,2.2,7.6,52,59,136,0.22,0.15,0.37,0.22,0.37,0.40,0.17,0.57,0.40,0.57,13.4,35,2.61,30,0,0,3,2,0,3,0.22,1,0,0,1,1,0,510,646,78.9,7921,1884,287,325,88.3,166,202,82.2,40,59,67.8,2,2.2,1.3,-0.2,15,36,19,4,59,0,11,23,2,30,7,11,1,0,0,71,10,11,47.6,3,34,12,35.3,2.54,0.90,0.09,0.25,15.4,0,0,0,0.16,-2.4,-2.4,22,11,17,4,1,17,41,41.5,24,16,3,13,7,29,11,0,50,47.9,17,57,1,7,35,4,1.92,21,8,+13,+0.97,+0.22,25.0,11.4,+13.6,+1.01,+0.64,809,17,163,337,319,54,809,37,17,45.9,18,48.6,516,3059,1739,52,38,20,24,15,597,136
1443,Pol Lirola,ESP,DF,Marseille,Ligue 1,27,1997,14,4,535,5.9,1,2,3,1,0,0,1,1,0.5,0.5,0.6,1.1,11,17,37,0.17,0.34,0.50,0.17,0.50,0.08,0.11,0.19,0.08,0.19,5.9,13,2.19,10,2,0,1,0,0,2,0.34,2,0,0,0,0,0,242,300,80.7,3568,713,130,146,89.0,94,110,85.5,8,18,44.4,2,0.6,0.4,+1.4,7,6,2,1,17,0,9,6,0,13,2,7,0,0,1,20,2,5,28.6,1,5,1,20.0,0.84,0.17,0.20,1.00,18.2,0,0,0,0.10,+0.5,+0.5,10,7,5,5,0,3,11,27.3,8,5,2,3,2,12,9,0,38,22.9,4,68,0,10,26,7,1.64,19,10,+9,+1.51,+0.97,15.4,11.0,+4.4,+0.75,+0.37,348,16,94,156,99,13,348,2,1,50.0,1,50.0,179,832,418,11,6,4,4,4,227,37
1444,Dailon Livramento,CPV,FW,Hellas Verona,Serie A,23,2001,21,8,787,8.7,1,1,2,1,0,0,1,1,1.4,1.4,0.9,2.3,20,11,48,0.11,0.11,0.23,0.11,0.23,0.16,0.10,0.26,0.16,0.26,8.7,16,1.83,9,0,4,1,1,1,3,0.34,1,0,1,1,0,0,69,135,51.1,920,219,40,68,58.8,18,31,58.1,3,7,42.9,1,0.9,0.8,+0.1,7,6,3,1,11,0,14,5,8,16,2,8,0,0,0,16,25,39,39.1,1,12,3,25.0,1.37,0.34,0.08,0.33,12.2,0,0,0,0.12,-0.4,-0.4,12,8,1,5,6,6,12,50.0,6,9,2,7,2,14,7,0,37,30.2,8,65,0,13,21,6,1.19,9,21,-12,-1.37,-0.53,8.0,13.1,-5.1,-0.59,-0.02,232,8,22,85,132,30,232,20,6,30.0,12,60.0,125,904,456,20,8,7,22,9,150,48
1445,Valentino Livramento,ENG,DF,Newcastle Utd,Premier League,22,2002,27,22,1940,21.6,0,0,0,0,0,0,1,0,0.1,0.1,1.1,1.3,50,103,73,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,21.6,26,1.21,25,0,0,1,0,0,0,0.00,0,0,0,0,0,0,960,1134,84.7,14143,4867,564,625,90.2,349,407,85.7,32,60,53.3,0,1.1,0.9,-1.1,13,71,19,4,103,0,5,25,2,32,20,28,0,0,0,137,18,27,40.0,0,3,1,33.3,0.14,0.05,0.00,0.00,20.3,0,0,0,0.04,-0.1,-0.1,41,28,29,9,3,23,39,59.0,16,24,8,16,20,61,79,1,72,77.0,22,82,15,5,26,0,1.63,37,31,+6,+0.28,-0.19,34.5,27.2,+7.4,+0.34,-0.20,1365,88,469,611,308,18,1365,37,16,43.2,15,40.5,710,4085,2001,50,28,5,20,27,757,73
1446,Marin Ljubicic,CRO,FW,Union Berlin,Bundliga,23,2002,6,1,138,1.5,1,1,2,1,0,0,1,0,0.4,0.4,0.6,1.0,1,2,9,0.65,0.65,1.30,0.65,1.30,0.27,0.40,0.67,0.27,0.67,1.5,4,2.61,2,1,0,0,1,0,1,0.65,1,0,0,0,0,0,18,29,62.1,247,40,6,10,60.0,8,10,80.0,0,0,0,1,0.6,0.3,+0.4,2,0,1,0,2,0,3,5,1,0,0,0,0,0,0,6,1,6,14.3,1,1,1,100.0,0.65,0.65,1.00,1.00,10.8,0,0,0,0.41,+0.6,+0.6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,23,5.9,1,45,0,5,19,0,1.17,4,6,-2,-1.30,-0.73,3.0,4.8,-1.9,-1.22,-1.01,39,0,7,15,17,6,39,0,0,0,0,0,21,77,24,1,0,0,2,1,28,9
1447,Javier Llabrés,ESP,FW,Mallorca,La Liga,22,2002,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.21,0.08,0.21,0.6,3,4.74,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,20,24,83.3,294,88,12,12,100.0,7,10,70.0,1,2,50.0,0,0.1,0.1,-0.1,1,0,1,1,3,0,0,1,1,4,0,0,0,0,0,3,1,0,100.0,0,1,0,0.0,1.58,0.00,0.00,0,19.7,0,0,0,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,57,2.3,1,57,0,0,0,8,0.00,0,1,-1,-1.58,-1.40,0.8,0.3,+0.5,+0.80,+0.75,29,2,6,9,14,0,29,0,0,0,0,0,17,160,69,3,2,0,1,2,19,8
1448,Diego Llorente,ESP,DF,Betis,La Liga,31,1993,27,27,2373,26.4,2,0,2,2,0,0,4,0,1.4,1.4,0.3,1.7,5,77,3,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,26.4,15,0.57,12,0,0,1,1,1,2,0.08,1,0,0,0,0,1,1295,1499,86.4,25643,8360,379,418,90.7,775,828,93.6,131,225,58.2,0,0.3,0.4,-0.3,6,63,3,0,77,0,20,21,0,1,43,19,0,1,1,92,76,44,63.3,2,10,3,30.0,0.38,0.11,0.20,0.67,11.5,0,0,0,0.14,+0.6,+0.6,34,19,21,12,1,23,35,65.7,12,27,19,8,43,77,147,1,88,94.2,27,88,25,0,0,1,1.63,33,30,+3,+0.11,+0.11,40.7,32.3,+8.4,+0.32,+0.34,1803,224,996,769,44,21,1803,8,6,75.0,1,12.5,1051,5086,2894,5,8,1,11,4,1158,3
1449,Marcos Llorente,ESP,DF,Atlético Madrid,La Liga,30,1995,23,18,1613,17.9,2,3,5,2,0,0,0,1,0.6,0.6,3.4,4.1,53,65,100,0.11,0.17,0.28,0.11,0.28,0.04,0.19,0.23,0.04,0.23,17.9,32,1.79,28,2,1,1,0,0,5,0.28,5,0,0,0,0,0,830,980,84.7,12495,3472,453,491,92.3,295,341,86.5,48,76,63.2,3,3.4,2.5,-0.4,17,49,17,11,65,0,12,15,2,39,19,35,0,0,0,86,12,13,48.0,2,12,5,41.7,0.67,0.28,0.17,0.40,19.4,0,0,0,0.05,+1.4,+1.4,47,35,26,18,3,28,40,70.0,12,18,4,14,19,66,37,1,70,64.0,18,81,12,5,29,0,2.00,31,17,+14,+0.78,-0.21,27.5,17.2,+10.2,+0.57,-0.29,1141,56,351,500,301,35,1141,22,9,40.9,11,50.0,671,3191,1796,53,30,9,18,4,757,100
1450,Gautier Lloris,FRA,DF,Le Havre,Ligue 1,29,1995,25,25,2249,25.0,2,1,3,2,0,0,5,0,1.2,1.2,0.9,2.0,12,89,7,0.08,0.04,0.12,0.08,0.12,0.05,0.03,0.08,0.05,0.08,25.0,20,0.80,16,0,0,4,0,0,3,0.12,2,0,0,1,0,0,1068,1224,87.3,20617,7651,350,382,91.6,608,642,94.7,98,168,58.3,1,0.9,0.5,+0.1,5,73,4,0,89,0,24,7,2,2,21,35,0,2,0,80,54,29,65.1,2,11,2,18.2,0.44,0.08,0.18,1.00,12.8,0,0,0,0.11,+0.8,+0.8,53,35,38,15,0,31,46,67.4,15,29,17,12,21,74,160,0,90,96.1,25,90,24,0,0,0,0.84,25,52,-27,-1.08,+0.90,28.8,46.7,-17.9,-0.72,0.00,1532,214,804,682,55,21,1532,7,4,57.1,3,42.9,809,3592,1993,12,8,0,12,3,997,7
1451,Giovani Lo Celso,ARG,MF,Betis,La Liga,28,1996,16,11,1035,11.5,7,1,8,5,2,3,3,0,4.1,1.8,3.5,5.2,14,97,47,0.61,0.09,0.70,0.43,0.52,0.36,0.30,0.66,0.15,0.45,11.5,63,5.47,44,16,0,0,3,0,5,0.43,5,0,0,0,0,0,521,679,76.7,8826,3157,245,289,84.8,195,238,81.9,57,103,55.3,1,3.5,3.5,-2.5,27,69,26,1,97,0,11,44,0,78,5,18,0,0,0,53,4,9,30.8,7,24,11,45.8,2.09,0.96,0.21,0.45,22.6,3,2,3,0.07,+2.9,+3.2,29,18,6,14,9,16,23,69.6,7,11,1,10,5,34,3,1,65,41.1,11,81,6,5,29,0,1.25,14,14,0,0.00,-0.18,19.5,11.4,+8.1,+0.70,+0.68,836,5,76,406,362,38,833,40,14,35.0,20,50.0,472,2211,955,14,21,5,31,24,573,47
1452,Stanislav Lobotka,SVK,MF,Napoli,Serie A,30,1994,25,24,2136,23.7,0,1,1,0,0,0,3,0,0.3,0.3,1.1,1.5,28,96,30,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,23.7,48,2.02,41,4,0,2,0,1,6,0.25,5,1,0,0,0,0,1263,1399,90.3,21964,5313,560,624,89.7,579,609,95.1,100,123,81.3,1,1.1,1.7,-0.1,15,90,16,1,96,0,20,28,0,2,20,26,0,1,0,146,5,5,50.0,0,7,0,0.0,0.29,0.00,0.00,0,23.3,0,0,0,0.05,-0.3,-0.3,40,26,12,18,10,17,26,65.4,9,24,8,16,20,60,45,1,85,81.8,24,88,14,1,31,0,2.08,39,19,+20,+0.84,+0.46,34.3,18.0,+16.3,+0.68,+0.12,1570,81,406,917,264,9,1570,11,8,72.7,3,27.3,910,4321,1723,28,23,2,9,10,1146,30
1453,Manuel Locatelli,ITA,MF,Juventus,Serie A,27,1998,27,25,2046,22.7,0,2,2,0,0,0,6,0,0.7,0.7,1.0,1.7,25,221,26,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.08,0.03,0.08,22.7,72,3.17,60,4,1,3,2,2,8,0.35,6,1,0,0,0,1,1583,1792,88.3,30008,9987,626,677,92.5,744,820,90.7,192,253,75.9,2,1.0,1.8,+1.0,18,238,22,1,221,0,36,16,1,15,18,30,0,1,0,101,27,15,64.3,0,15,4,26.7,0.66,0.18,0.00,0.00,21.3,0,0,0,0.05,-0.7,-0.7,44,30,19,23,2,18,34,52.9,16,42,13,29,18,62,49,0,76,78.4,25,81,15,2,10,1,1.78,35,24,+11,+0.48,-0.47,31.1,22.3,+8.8,+0.39,-0.36,2010,110,486,1273,265,11,2010,17,7,41.2,9,52.9,1163,5469,2802,25,31,1,18,5,1524,26
1454,Ruben Loftus-Cheek,ENG,MF,Milan,Serie A,29,1996,14,6,695,7.7,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.8,20,37,29,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,7.7,27,3.50,21,0,2,1,3,0,2,0.26,1,0,0,0,1,0,253,286,88.5,3859,740,138,155,89.0,97,107,90.7,12,15,80.0,0,1.4,0.6,-1.4,12,28,5,1,37,0,13,20,0,5,2,7,0,0,0,27,11,7,61.1,0,6,2,33.3,0.78,0.26,0.00,0.00,14.2,0,0,0,0.08,-0.5,-0.5,15,7,4,7,4,4,8,50.0,4,1,0,1,2,17,10,0,50,26.6,6,86,4,8,23,0,1.79,11,10,+1,+0.13,-0.34,13.9,8.5,+5.3,+0.69,+0.14,355,10,47,206,108,21,355,15,8,53.3,5,33.3,209,1350,785,20,13,8,11,5,283,29
1455,Elysée Logbo,FRA,FW,Le Havre,Ligue 1,20,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,4,75.0,36,0,1,2,50.0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0,1,0,0.0,3.33,0.00,0.00,0,3.7,0,0,0,0.18,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.2,0,0,0,1,27,0,0.00,1,2,-1,-3.33,-2.24,0.4,1.8,-1.4,-4.74,-4.07,6,0,1,3,2,2,6,0,0,0,0,0,5,41,7,0,1,0,0,3,4,2
1456,Enzo Loiodice,FRA,MF,Las Palmas,La Liga,24,2000,15,5,504,5.6,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,2,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,5.6,8,1.43,4,3,0,0,1,0,0,0.00,0,0,0,0,0,0,266,317,83.9,4467,1005,131,149,87.9,108,126,85.7,20,28,71.4,0,0.1,0.1,-0.1,3,22,1,0,20,0,9,5,1,9,5,4,0,0,0,20,6,4,60.0,0,4,2,50.0,0.71,0.36,0.00,0.00,25.1,0,0,0,0.03,-0.1,-0.1,11,4,6,5,0,3,9,33.3,6,4,1,3,5,16,7,2,34,20.0,5,68,1,10,17,11,0.87,4,15,-11,-1.96,-1.79,4.8,11.2,-6.4,-1.14,-0.32,380,13,74,257,50,3,380,8,3,37.5,4,50.0,212,701,303,2,4,0,9,12,274,3
1457,Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,27,1997,21,8,746,8.3,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,8.3,14,1.69,12,0,1,1,0,0,2,0.24,1,0,0,1,0,0,273,324,84.3,4068,1120,152,174,87.4,101,110,91.8,14,21,66.7,0,0.2,0.2,-0.2,4,24,1,0,38,0,9,5,0,5,6,16,0,0,0,29,6,7,46.2,0,6,1,16.7,0.72,0.12,0.00,0.00,13.5,0,0,0,0.10,-0.6,-0.6,27,16,10,9,8,18,26,69.2,8,15,4,11,6,33,5,0,36,29.6,8,72,3,13,13,7,1.67,9,11,-2,-0.24,-0.80,8.3,10.7,-2.4,-0.29,-0.96,400,19,109,179,115,21,400,6,2,33.3,3,50.0,230,1122,414,4,10,2,8,7,286,20
1458,Ademola Lookman,NGA,FW,Atalanta,Serie A,27,1997,23,21,1649,18.3,13,5,18,12,1,1,4,0,9.0,8.2,5.3,13.5,103,48,222,0.71,0.27,0.98,0.65,0.93,0.49,0.29,0.78,0.45,0.74,18.3,111,6.06,57,22,17,12,2,1,13,0.71,8,0,3,1,1,0,508,692,73.4,7154,2009,318,365,87.1,131,183,71.6,34,71,47.9,5,5.3,5.8,-0.3,49,25,23,7,48,0,24,16,24,81,2,13,0,0,0,50,11,11,50.0,13,66,28,42.4,3.60,1.53,0.18,0.43,14.5,0,1,1,0.13,+4.0,+3.8,27,13,9,12,6,8,15,53.3,7,15,0,15,2,29,3,1,72,63.2,21,75,5,2,41,1,2.17,41,16,+25,+1.36,+0.43,32.3,15.5,+16.8,+0.92,+0.45,954,1,52,322,596,140,953,79,28,35.4,50,63.3,631,4053,2362,103,55,55,58,39,730,222
1459,Anthony Lopes,POR,GK,Nantes,Ligue 1,34,1990,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,209,354,59.0,6806,5165,24,24,100.0,84,85,98.8,101,245,41.2,0,0.0,0.0,0.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,5,1,90,42.3,11,90,11,0,0,0,1.18,12,19,-7,-0.64,-0.17,15.8,20.8,-5.0,-0.45,-0.07,383,317,378,5,0,0,383,0,0,0,0,0,211,1233,782,0,0,0,1,0,172,0
1460,David López,ESP,DF,Girona,La Liga,35,1989,23,22,1958,21.8,1,0,1,1,0,0,3,0,0.8,0.8,0.1,0.8,14,98,5,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.04,0.04,21.8,19,0.87,15,0,0,4,0,0,2,0.09,0,0,0,2,0,0,1508,1653,91.2,28417,9919,489,517,94.6,899,938,95.8,110,175,62.9,0,0.1,0.5,-0.1,3,108,5,0,98,0,6,11,1,3,12,18,0,1,0,76,26,25,51.0,1,11,3,27.3,0.51,0.14,0.09,0.33,16.5,0,0,0,0.07,+0.2,+0.2,26,18,18,5,3,16,29,55.2,13,20,10,10,12,38,88,1,85,77.7,22,87,20,1,37,5,1.26,30,33,-3,-0.14,+0.18,27.0,28.2,-1.2,-0.06,+0.20,1836,229,888,889,64,13,1836,9,6,66.7,2,22.2,1111,6154,3444,14,14,0,10,6,1365,5
1461,Diego López,ESP,MF,Valencia,La Liga,22,2002,28,25,2010,22.3,6,4,10,6,0,0,2,0,4.7,4.7,3.8,8.5,58,61,156,0.27,0.18,0.45,0.27,0.45,0.21,0.17,0.38,0.21,0.38,22.3,51,2.28,43,1,2,2,3,0,7,0.31,5,0,1,0,1,0,477,676,70.6,7491,1703,261,320,81.6,177,228,77.6,28,46,60.9,4,3.8,3.4,+0.2,26,33,18,5,61,0,15,26,12,56,10,13,1,0,0,68,12,46,20.7,6,33,11,33.3,1.48,0.49,0.18,0.55,14.9,0,0,0,0.14,+1.3,+1.3,22,13,5,13,4,12,36,33.3,24,19,0,19,10,32,8,0,72,79.8,25,77,7,3,25,0,1.00,28,34,-6,-0.27,+1.32,24.6,31.4,-6.7,-0.30,+0.06,894,5,79,344,482,72,894,58,17,29.3,38,65.5,491,3032,1533,58,33,19,44,16,621,156
1462,Fermin López,ESP,MF,Barcelona,La Liga,21,2003,17,6,644,7.2,3,2,5,3,0,0,3,1,3.2,3.2,1.3,4.5,17,30,50,0.42,0.28,0.70,0.42,0.70,0.45,0.18,0.63,0.45,0.63,7.2,17,2.38,14,0,1,0,0,2,3,0.42,3,0,0,0,0,0,259,316,82.0,3839,927,150,167,89.8,80,96,83.3,14,26,53.8,2,1.3,2.1,+0.7,7,28,10,3,30,0,14,12,2,18,4,9,0,0,0,36,6,13,31.6,3,18,6,33.3,2.52,0.84,0.17,0.50,17.6,0,0,0,0.18,-0.2,-0.2,10,9,3,3,4,5,18,27.8,13,3,0,3,4,14,2,0,38,26.5,6,61,1,11,25,3,2.18,18,8,+10,+1.40,-0.52,15.9,7.3,+8.6,+1.20,-0.13,407,4,32,180,201,31,407,28,11,39.3,14,50.0,230,1272,564,17,10,4,18,4,300,50
1463,Javi López,ESP,DF,Real Sociedad,La Liga,22,2002,22,16,1501,16.7,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,30,56,39,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,16.7,15,0.90,11,1,1,0,2,0,1,0.06,0,0,0,0,1,0,641,809,79.2,10308,3811,347,377,92.0,242,314,77.1,42,75,56.0,0,0.4,1.0,-0.4,4,31,10,4,56,0,18,21,1,40,5,19,0,0,0,76,8,15,34.8,0,4,1,25.0,0.24,0.06,0.00,0.00,21.7,0,0,0,0.02,-0.1,-0.1,33,19,18,11,4,19,31,61.3,12,19,6,13,5,38,42,1,68,59.6,16,80,9,6,36,4,1.27,17,23,-6,-0.36,-0.45,18.2,20.4,-2.1,-0.13,-0.29,970,45,291,441,249,11,970,31,14,45.2,15,48.4,447,2534,1075,30,27,4,20,14,513,39
1464,Pau López,ESP,GK,Girona,La Liga,30,1994,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,18,24,75.0,545,414,2,2,100.0,12,12,100.0,4,10,40.0,0,0.0,0.1,0.0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,1.8,0,0,0,1,45,16,0.00,1,2,-1,-2.00,-1.85,0.9,2.1,-1.2,-2.34,-2.28,26,20,26,0,0,0,26,0,0,0,0,0,17,62,31,0,0,0,0,0,13,0
1465,Roberto López,ESP,MF,Leganés,La Liga,24,2000,12,3,393,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,3,20,11,0.00,0.23,0.23,0.00,0.23,0.11,0.20,0.31,0.11,0.31,4.4,15,3.44,8,5,1,0,0,1,1,0.23,0,1,0,0,0,0,152,205,74.1,2443,735,81,97,83.5,43,50,86.0,18,38,47.4,1,0.9,0.5,+0.1,10,22,2,1,20,0,1,3,0,23,1,5,0,0,0,28,1,5,16.7,0,6,1,16.7,1.37,0.23,0.00,0.00,27.3,0,0,0,0.08,-0.5,-0.5,7,5,4,3,0,4,14,28.6,10,4,0,4,1,8,7,2,33,15.6,3,86,2,9,15,16,1.00,2,8,-6,-1.37,-0.91,3.3,7.6,-4.3,-0.99,-0.25,237,5,42,126,71,2,237,4,2,50.0,2,50.0,120,532,242,3,3,0,5,5,139,11
1466,Unai López,ESP,MF,Rayo Vallecano,La Liga,29,1995,22,16,1153,12.8,3,0,3,3,0,0,7,1,1.3,1.3,0.4,1.7,10,73,29,0.23,0.00,0.23,0.23,0.23,0.10,0.03,0.14,0.10,0.14,12.8,28,2.19,25,3,0,0,0,0,1,0.08,1,0,0,0,0,0,697,825,84.5,11841,2945,327,357,91.6,305,338,90.2,55,104,52.9,0,0.4,0.8,-0.4,10,72,7,1,73,0,14,12,1,15,19,12,0,0,0,85,6,8,42.9,3,15,7,46.7,1.17,0.55,0.20,0.43,20.4,1,0,0,0.09,+1.7,+1.7,19,12,9,5,5,10,23,43.5,13,12,2,10,19,38,13,0,52,45.8,16,63,2,6,23,1,1.59,16,12,+4,+0.31,+0.58,12.9,15.6,-2.7,-0.21,-0.51,943,31,221,547,183,13,943,12,8,66.7,2,16.7,543,2315,954,10,17,1,19,11,696,29
1467,Iker Losada,ESP,FW,Celta Vigo,La Liga,23,2001,7,2,235,2.6,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,14,17,0.38,0.00,0.38,0.38,0.38,0.26,0.11,0.37,0.26,0.37,2.6,5,1.91,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,70,92,76.1,1065,242,39,46,84.8,25,32,78.1,3,5,60.0,0,0.3,0.5,-0.3,4,10,3,1,14,0,2,0,0,4,1,3,0,0,0,7,1,3,25.0,1,2,1,50.0,0.77,0.38,0.50,1.00,11.7,0,0,0,0.34,+0.3,+0.3,3,3,0,1,2,1,4,25.0,3,2,0,2,1,4,5,0,34,9.3,2,64,0,5,22,0,2.00,3,5,-2,-0.77,-0.84,3.6,3.0,+0.6,+0.22,-0.09,114,1,11,59,45,12,114,3,1,33.3,2,66.7,59,341,184,7,2,4,4,3,85,17
