match_id,type_evenement,equipe_couleur,equipe_id,joueur,equipe_joueur,joueur_id,minute,xg,csc,situation,position_x,position_y
4513835,AttemptSaved,#C80C13,9829,Takumi Minamino,Monaco,408943,30,0.07432100921869278,False,RegularPlay,83.2733009712,40.30142857199999
4513835,AttemptSaved,#C80C13,9829,Lamine Camara,Monaco,1436305,31,0.15085138380527496,False,RegularPlay,95.73684210409999,25.7071875
4513835,AttemptSaved,#C80C13,9829,Soungoutou Magassa,Monaco,1385894,31,0.029495755210518837,False,RegularPlay,80.11990291360001,29.295476189000002
4513835,AttemptSaved,#C80C13,9829,Lamine Camara,Monaco,1436305,31,0.023929158225655556,False,RegularPlay,97.4736842099,19.865477709799997
4513835,Goal,#C80C13,9829,Thilo Kehrer,Monaco,604088,32,0.15604755282402039,False,FromCorner,102.4396551726,29.631666665
4513835,AttemptSaved,#40547D,10249,Wahbi Khazri,Montpellier,166019,35,0.20683665573596954,False,FastBreak,96.3157894727,23.718980896300003
4513835,Miss,#C80C13,9829,Maghnes Akliouche,Monaco,1305618,39,0.04238879680633545,False,RegularPlay,85.6014705876,23.859108284899996
4513835,AttemptSaved,#40547D,10249,Wahbi Khazri,Montpellier,166019,41,0.014703820459544659,False,RegularPlay,81.6966019424,44.4211464923
4513835,AttemptSaved,#C80C13,9829,Maghnes Akliouche,Monaco,1305618,45,0.06890164315700531,False,FastBreak,99.50000000040001,44.6313375752
4513835,Goal,#40547D,10249,Mousa Tamari,Montpellier,813055,54,0.7542383670806885,False,RegularPlay,101.9655172416,27.950714285
4513835,AttemptSaved,#40547D,10249,Wahbi Khazri,Montpellier,166019,57,0.04649168252944946,False,FreeKick,84.1742718448,19.725350321199997
4513835,Miss,#40547D,10249,Issiaga Sylla,Montpellier,409193,58,0.8985896706581116,False,FromCorner,102.629310345,34
4513835,AttemptSaved,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,59,0.044924769550561905,False,FastBreak,90.5,47.994394901599996
4513835,Miss,#C80C13,9829,Maghnes Akliouche,Monaco,1305618,59,0.11581385880708694,False,FastBreak,90.9,27.698571428000005
4513835,Miss,#C80C13,9829,Lucas Michal,Monaco,1607371,64,0.04281039163470268,False,FromCorner,93.1,24.0692993678
4513835,Miss,#40547D,10249,Arnaud Nordin,Montpellier,770340,68,0.049393054097890854,False,RegularPlay,101.58620689680001,23.2985987305
4513835,AttemptSaved,#C80C13,9829,Soungoutou Magassa,Monaco,1385894,73,0.03317486122250557,False,FromCorner,101.206896552,25.53375
4513835,Goal,#40547D,10249,Mousa Tamari,Montpellier,813055,82,0.08422180265188217,False,RegularPlay,94.4824561388,23.718980896300003
4513835,AttemptSaved,#C80C13,9829,Mika Biereth,Monaco,1113809,89,0.024533750489354134,False,RegularPlay,96.50877192889999,20.5661146528
4513835,Miss,#40547D,10249,Mousa Tamari,Montpellier,813055,90,0.28000178933143616,False,FastBreak,91.7,29.211428570000002
4513835,AttemptSaved,#C80C13,9829,Mika Biereth,Monaco,1113809,90,0.10403251647949219,False,FastBreak,90.6,37.684
4513835,AttemptSaved,#C80C13,9829,Mika Biereth,Monaco,1113809,90,0.04506845772266388,False,RegularPlay,93.4,42.6975
4513835,AttemptSaved,#C80C13,9829,Aleksandr Golovin,Monaco,586388,90,0.06350719928741455,False,RegularPlay,91.6,38.956666668
4513835,AttemptSaved,#C80C13,9829,Soungoutou Magassa,Monaco,1385894,90,0.0571601465344429,False,RegularPlay,86.6749999996,30.22
4513832,AttemptSaved,#181818,9831,Gaëtan Laborde,Nice,492158,3,0.0592188835144043,False,RegularPlay,91.7,48.4848407617
4513832,Miss,#181818,9831,Pablo Rosario,Nice,664226,4,0.4259023368358612,False,FromCorner,101.0172413796,34.68625
4513832,Miss,#E01D13,8639,Jonathan David,Lille,939569,9,0.0723395124077797,False,RegularPlay,96.605263157,35.83
4513832,AttemptSaved,#181818,9831,Sofiane Diop,Nice,953812,13,0.054949693381786346,False,RegularPlay,93,43.720509549300004
4513832,Miss,#E01D13,8639,Mitchel Bakker,Lille,891870,18,0.04785383865237236,False,FromCorner,95.54385964789999,30.34
4513832,Miss,#181818,9831,Gaëtan Laborde,Nice,492158,28,0.334068238735199,False,RegularPlay,98.7280701752,37.50750000000001
4513832,Goal,#181818,9831,Sofiane Diop,Nice,953812,29,0.9280702471733093,False,RegularPlay,103.577586207,36.36375
4513832,AttemptSaved,#E01D13,8639,Mitchel Bakker,Lille,891870,40,0.032193899154663086,False,FreeKick,77.0791262152,22.6680254818
4513832,Miss,#E01D13,8639,Alexsandro Ribeiro,Lille,1186553,40,0.032781582325696945,False,SetPiece,96.1228070165,39.460952381999995
4513832,AttemptSaved,#181818,9831,Gaëtan Laborde,Nice,492158,43,0.06244867667555809,False,RegularPlay,85.9235294112,34.99125
4513832,AttemptSaved,#E01D13,8639,Thomas Meunier,Lille,277771,44,0.039804961532354355,False,RegularPlay,91,20.706242041399996
4513832,AttemptSaved,#181818,9831,Hicham Boudaoui,Nice,1033099,45,0.03628923371434212,False,FastBreak,92.2,18.2540127409
4513832,Miss,#181818,9831,Gaëtan Laborde,Nice,492158,45,0.05196254700422287,False,FromCorner,102.4396551726,26.516562500000003
4513832,Post,#181818,9831,Tanguy Ndombélé,Nice,773189,45,0.676272988319397,False,FromCorner,102.3448275864,36.821250000000006
